SalesOrderNumber,OrderDate,ProductKey,CustomerKey,SalesTerritoryKey,UnitPrice,OrderQuantity,TotalProductCost,TaxAmt,Freight
SO43755,2018-01-12,311,27670,4,3578.27,1,2171.29,286.26,89.46
SO43756,2018-01-12,332,19941,10,699.10,1,413.15,55.93,17.48
SO43757,2018-01-12,350,11017,9,3374.99,1,1898.09,270.00,84.37
SO43758,2018-01-13,310,27646,4,3578.27,1,2171.29,286.26,89.46
SO43759,2018-01-13,310,13257,8,3578.27,1,2171.29,286.26,89.46
SO43760,2018-01-13,314,16352,9,3578.27,1,2171.29,286.26,89.46
SO43761,2018-01-13,310,16493,9,3578.27,1,2171.29,286.26,89.46
SO43762,2018-01-14,314,27578,4,3578.27,1,2171.29,286.26,89.46
SO43763,2018-01-14,313,16525,9,3578.27,1,2171.29,286.26,89.46
SO43764,2018-01-14,310,16612,9,3578.27,1,2171.29,286.26,89.46
SO43765,2018-01-14,346,11010,9,3399.99,1,1912.15,272.00,85.00
SO43766,2018-01-15,313,16518,9,3578.27,1,2171.29,286.26,89.46
SO43767,2018-01-15,350,11001,9,3374.99,1,1898.09,270.00,84.37
SO43768,2018-01-16,312,27649,1,3578.27,1,2171.29,286.26,89.46
SO43769,2018-01-16,312,21659,6,3578.27,1,2171.29,286.26,89.46
SO43770,2018-01-16,312,27614,1,3578.27,1,2171.29,286.26,89.46
SO43771,2018-01-16,330,14559,4,699.10,1,413.15,55.93,17.48
SO43772,2018-01-16,312,16524,9,3578.27,1,2171.29,286.26,89.46
SO43773,2018-01-16,314,16526,9,3578.27,1,2171.29,286.26,89.46
SO43774,2018-01-16,313,16348,9,3578.27,1,2171.29,286.26,89.46
SO43775,2018-01-16,347,11027,9,3399.99,1,1912.15,272.00,85.00
SO43776,2018-01-17,314,13260,8,3578.27,1,2171.29,286.26,89.46
SO43777,2018-01-17,311,16515,9,3578.27,1,2171.29,286.26,89.46
SO43778,2018-01-17,345,11018,9,3399.99,1,1912.15,272.00,85.00
SO43779,2018-01-17,326,25252,9,699.10,1,413.15,55.93,17.48
SO43780,2018-01-18,311,11599,7,3578.27,1,2171.29,286.26,89.46
SO43781,2018-01-18,312,16495,9,3578.27,1,2171.29,286.26,89.46
SO43782,2018-01-18,312,16516,9,3578.27,1,2171.29,286.26,89.46
SO43783,2018-01-18,312,16620,9,3578.27,1,2171.29,286.26,89.46
SO43784,2018-01-19,310,27667,4,3578.27,1,2171.29,286.26,89.46
SO43785,2018-01-19,311,11601,7,3578.27,1,2171.29,286.26,89.46
SO43786,2018-01-19,311,11607,7,3578.27,1,2171.29,286.26,89.46
SO43787,2018-01-19,344,29385,8,3399.99,1,1912.15,272.00,85.00
SO43788,2018-01-19,351,11239,10,3374.99,1,1898.09,270.00,84.37
SO43789,2018-01-19,351,25865,1,3374.99,1,1898.09,270.00,84.37
SO43790,2018-01-19,344,25857,1,3399.99,1,1912.15,272.00,85.00
SO43791,2018-01-19,314,16484,9,3578.27,1,2171.29,286.26,89.46
SO43792,2018-01-19,312,16623,9,3578.27,1,2171.29,286.26,89.46
SO43793,2018-01-19,344,11000,9,3399.99,1,1912.15,272.00,85.00
SO43794,2018-01-19,347,11029,9,3399.99,1,1912.15,272.00,85.00
SO43795,2018-01-20,312,27615,4,3578.27,1,2171.29,286.26,89.46
SO43796,2018-01-20,342,17956,7,699.10,1,413.15,55.93,17.48
SO43797,2018-01-20,312,16345,9,3578.27,1,2171.29,286.26,89.46
SO43798,2018-01-20,310,16521,9,3578.27,1,2171.29,286.26,89.46
SO43799,2018-01-20,312,16636,9,3578.27,1,2171.29,286.26,89.46
SO43800,2018-01-21,311,21710,6,3578.27,1,2171.29,286.26,89.46
SO43801,2018-01-21,311,13583,10,3578.27,1,2171.29,286.26,89.46
SO43802,2018-01-21,312,11593,7,3578.27,1,2171.29,286.26,89.46
SO43803,2018-01-22,314,21741,6,3578.27,1,2171.29,286.26,89.46
SO43804,2018-01-22,310,13585,10,3578.27,1,2171.29,286.26,89.46
SO43805,2018-01-22,328,14510,1,699.10,1,413.15,55.93,17.48
SO43806,2018-01-22,312,16523,9,3578.27,1,2171.29,286.26,89.46
SO43807,2018-01-23,312,11611,7,3578.27,1,2171.29,286.26,89.46
SO43808,2018-01-23,313,13259,8,3578.27,1,2171.29,286.26,89.46
SO43809,2018-01-23,310,16350,9,3578.27,1,2171.29,286.26,89.46
SO43810,2018-01-23,345,11004,9,3399.99,1,1912.15,272.00,85.00
SO43811,2018-01-23,346,11026,9,3399.99,1,1912.15,272.00,85.00
SO43812,2018-01-24,312,27662,4,3578.27,1,2171.29,286.26,89.46
SO43813,2018-01-24,350,28390,7,3374.99,1,1898.09,270.00,84.37
SO43814,2018-01-24,350,25866,1,3374.99,1,1898.09,270.00,84.37
SO43815,2018-01-24,311,16494,9,3578.27,1,2171.29,286.26,89.46
SO43816,2018-01-24,314,16496,9,3578.27,1,2171.29,286.26,89.46
SO43817,2018-01-24,310,16519,9,3578.27,1,2171.29,286.26,89.46
SO43818,2018-01-24,312,16528,9,3578.27,1,2171.29,286.26,89.46
SO43819,2018-01-24,346,11006,9,3399.99,1,1912.15,272.00,85.00
SO43820,2018-01-25,312,27651,4,3578.27,1,2171.29,286.26,89.46
SO43821,2018-01-25,310,27663,4,3578.27,1,2171.29,286.26,89.46
SO43822,2018-01-25,313,27669,4,3578.27,1,2171.29,286.26,89.46
SO43823,2018-01-25,342,19942,10,699.10,1,413.15,55.93,17.48
SO43824,2018-01-25,338,14558,1,699.10,1,413.15,55.93,17.48
SO43825,2018-01-25,313,16349,9,3578.27,1,2171.29,286.26,89.46
SO43826,2018-01-25,348,11008,9,3374.99,1,1898.09,270.00,84.37
SO43827,2018-01-25,338,25250,9,699.10,1,413.15,55.93,17.48
SO43828,2018-01-26,310,27605,1,3578.27,1,2171.29,286.26,89.46
SO43829,2018-01-26,310,27611,4,3578.27,1,2171.29,286.26,89.46
SO43830,2018-01-26,311,16347,9,3578.27,1,2171.29,286.26,89.46
SO43831,2018-01-26,349,11028,9,3374.99,1,1898.09,270.00,84.37
SO43832,2018-01-26,310,13584,10,3578.27,1,2171.29,286.26,89.46
SO43833,2018-01-27,310,21727,6,3578.27,1,2171.29,286.26,89.46
SO43834,2018-01-27,348,28393,7,3374.99,1,1898.09,270.00,84.37
SO43835,2018-01-27,348,19802,6,3374.99,1,1898.09,270.00,84.37
SO43836,2018-01-27,324,26620,6,699.10,1,413.15,55.93,17.48
SO43837,2018-01-27,350,11009,9,3374.99,1,1898.09,270.00,84.37
SO43838,2018-01-28,313,27641,4,3578.27,1,2171.29,286.26,89.46
SO43839,2018-01-28,311,27673,1,3578.27,1,2171.29,286.26,89.46
SO43840,2018-01-28,326,17957,7,699.10,1,413.15,55.93,17.48
SO43841,2018-01-28,314,13406,8,3578.27,1,2171.29,286.26,89.46
SO43842,2018-01-28,312,16630,9,3578.27,1,2171.29,286.26,89.46
SO43918,2018-01-29,313,22041,6,3578.27,1,2171.29,286.26,89.46
SO43919,2018-01-29,314,12124,7,3578.27,1,2171.29,286.26,89.46
SO43920,2018-01-29,313,28066,4,3578.27,1,2171.29,286.26,89.46
SO43921,2018-01-29,313,16743,9,3578.27,1,2171.29,286.26,89.46
SO43922,2018-01-29,310,13546,8,3578.27,1,2171.29,286.26,89.46
SO43923,2018-01-30,312,28018,4,3578.27,1,2171.29,286.26,89.46
SO43924,2018-01-30,310,12132,7,3578.27,1,2171.29,286.26,89.46
SO43925,2018-01-30,314,16661,9,3578.27,1,2171.29,286.26,89.46
SO43926,2018-01-31,351,11055,9,3374.99,1,1898.09,270.00,84.37
SO43927,2018-01-31,314,16662,9,3578.27,1,2171.29,286.26,89.46
SO43928,2018-01-31,313,16740,9,3578.27,1,2171.29,286.26,89.46
SO43929,2018-01-31,322,25270,9,699.10,1,413.15,55.93,17.48
SO43930,2018-02-01,312,28038,4,3578.27,1,2171.29,286.26,89.46
SO43931,2018-02-01,313,13548,8,3578.27,1,2171.29,286.26,89.46
SO43932,2018-02-01,314,16741,9,3578.27,1,2171.29,286.26,89.46
SO43933,2018-02-01,347,11031,9,3399.99,1,1912.15,272.00,85.00
SO43934,2018-02-01,346,11034,9,3399.99,1,1912.15,272.00,85.00
SO43935,2018-02-02,334,20048,10,699.10,1,413.15,55.93,17.48
SO43936,2018-02-02,311,28065,4,3578.27,1,2171.29,286.26,89.46
SO43937,2018-02-02,312,17047,9,3578.27,1,2171.29,286.26,89.46
SO43938,2018-02-02,310,16686,9,3578.27,1,2171.29,286.26,89.46
SO43939,2018-02-02,312,16659,9,3578.27,1,2171.29,286.26,89.46
SO43940,2018-02-02,336,25294,9,699.10,1,413.15,55.93,17.48
SO43941,2018-02-03,314,13600,10,3578.27,1,2171.29,286.26,89.46
SO43942,2018-02-03,310,17051,9,3578.27,1,2171.29,286.26,89.46
SO43943,2018-02-03,338,14565,4,699.10,1,413.15,55.93,17.48
SO43944,2018-02-03,344,11054,9,3399.99,1,1912.15,272.00,85.00
SO43945,2018-02-03,310,16675,9,3578.27,1,2171.29,286.26,89.46
SO43946,2018-02-03,313,16687,9,3578.27,1,2171.29,286.26,89.46
SO43947,2018-02-03,310,16712,9,3578.27,1,2171.29,286.26,89.46
SO43948,2018-02-03,345,11047,9,3399.99,1,1912.15,272.00,85.00
SO43949,2018-02-04,310,27726,4,3578.27,1,2171.29,286.26,89.46
SO43950,2018-02-04,311,28014,4,3578.27,1,2171.29,286.26,89.46
SO43951,2018-02-04,311,16696,9,3578.27,1,2171.29,286.26,89.46
SO43952,2018-02-04,312,16639,9,3578.27,1,2171.29,286.26,89.46
SO43953,2018-02-05,342,20049,10,699.10,1,413.15,55.93,17.48
SO43954,2018-02-05,311,13602,10,3578.27,1,2171.29,286.26,89.46
SO43955,2018-02-05,314,13661,10,3578.27,1,2171.29,286.26,89.46
SO43956,2018-02-05,344,11030,9,3399.99,1,1912.15,272.00,85.00
SO43957,2018-02-06,313,28068,4,3578.27,1,2171.29,286.26,89.46
SO43958,2018-02-06,312,16658,9,3578.27,1,2171.29,286.26,89.46
SO43959,2018-02-06,348,11035,9,3374.99,1,1898.09,270.00,84.37
SO43960,2018-02-06,349,11046,9,3374.99,1,1898.09,270.00,84.37
SO43961,2018-02-07,311,28031,4,3578.27,1,2171.29,286.26,89.46
SO43962,2018-02-07,312,28076,4,3578.27,1,2171.29,286.26,89.46
SO43963,2018-02-07,314,16685,9,3578.27,1,2171.29,286.26,89.46
SO43964,2018-02-07,312,16745,9,3578.27,1,2171.29,286.26,89.46
SO43965,2018-02-07,351,11038,9,3374.99,1,1898.09,270.00,84.37
SO43966,2018-02-07,347,11039,9,3399.99,1,1912.15,272.00,85.00
SO43967,2018-02-08,313,28040,1,3578.27,1,2171.29,286.26,89.46
SO43968,2018-02-08,313,28067,4,3578.27,1,2171.29,286.26,89.46
SO43969,2018-02-08,310,28071,4,3578.27,1,2171.29,286.26,89.46
SO43970,2018-02-08,311,16684,9,3578.27,1,2171.29,286.26,89.46
SO43971,2018-02-08,314,16657,9,3578.27,1,2171.29,286.26,89.46
SO43972,2018-02-09,314,21939,6,3578.27,1,2171.29,286.26,89.46
SO43973,2018-02-09,312,28039,4,3578.27,1,2171.29,286.26,89.46
SO43974,2018-02-09,312,13687,10,3578.27,1,2171.29,286.26,89.46
SO43975,2018-02-09,312,13540,8,3578.27,1,2171.29,286.26,89.46
SO43976,2018-02-09,310,28063,4,3578.27,1,2171.29,286.26,89.46
SO43977,2018-02-09,312,16703,9,3578.27,1,2171.29,286.26,89.46
SO43978,2018-02-10,310,28030,1,3578.27,1,2171.29,286.26,89.46
SO43979,2018-02-10,322,14576,1,699.10,1,413.15,55.93,17.48
SO43980,2018-02-10,351,11048,9,3374.99,1,1898.09,270.00,84.37
SO43981,2018-02-10,314,16664,9,3578.27,1,2171.29,286.26,89.46
SO43982,2018-02-10,342,25271,9,699.10,1,413.15,55.93,17.48
SO43983,2018-02-11,314,28017,1,3578.27,1,2171.29,286.26,89.46
SO43984,2018-02-11,311,13545,8,3578.27,1,2171.29,286.26,89.46
SO43985,2018-02-11,313,13515,8,3578.27,1,2171.29,286.26,89.46
SO43986,2018-02-11,310,28070,4,3578.27,1,2171.29,286.26,89.46
SO43987,2018-02-12,310,28042,4,3578.27,1,2171.29,286.26,89.46
SO43988,2018-02-12,344,11244,10,3399.99,1,1912.15,272.00,85.00
SO43989,2018-02-12,312,28083,4,3578.27,1,2171.29,286.26,89.46
SO43990,2018-02-12,344,25872,1,3399.99,1,1912.15,272.00,85.00
SO43991,2018-02-12,310,16660,9,3578.27,1,2171.29,286.26,89.46
SO43992,2018-02-12,311,16638,9,3578.27,1,2171.29,286.26,89.46
SO43993,2018-02-14,314,16929,9,3578.27,1,2171.29,286.26,89.46
SO43994,2018-02-15,314,27681,4,3578.27,1,2171.29,286.26,89.46
SO43995,2018-02-15,312,21813,6,3578.27,1,2171.29,286.26,89.46
SO43996,2018-02-15,310,27920,4,3578.27,1,2171.29,286.26,89.46
SO43997,2018-02-15,310,28022,4,3578.27,1,2171.29,286.26,89.46
SO43998,2018-02-15,348,11033,9,3374.99,1,1898.09,270.00,84.37
SO43999,2018-02-15,311,28047,1,3578.27,1,2171.29,286.26,89.46
SO44000,2018-02-16,311,27918,4,3578.27,1,2171.29,286.26,89.46
SO44001,2018-02-16,313,28044,4,3578.27,1,2171.29,286.26,89.46
SO44002,2018-02-16,336,14572,4,699.10,1,413.15,55.93,17.48
SO44003,2018-02-16,342,19325,8,699.10,1,413.15,55.93,17.48
SO44004,2018-02-16,310,28061,4,3578.27,1,2171.29,286.26,89.46
SO44005,2018-02-16,334,26629,6,699.10,1,413.15,55.93,17.48
SO44006,2018-02-16,310,16744,9,3578.27,1,2171.29,286.26,89.46
SO44007,2018-02-16,320,25555,9,699.10,1,413.15,55.93,17.48
SO44008,2018-02-17,312,27678,1,3578.27,1,2171.29,286.26,89.46
SO44009,2018-02-17,314,27759,1,3578.27,1,2171.29,286.26,89.46
SO44010,2018-02-17,310,13680,10,3578.27,1,2171.29,286.26,89.46
SO44011,2018-02-17,310,13514,8,3578.27,1,2171.29,286.26,89.46
SO44012,2018-02-17,349,11052,9,3374.99,1,1898.09,270.00,84.37
SO44013,2018-02-17,312,16928,9,3578.27,1,2171.29,286.26,89.46
SO44014,2018-02-18,313,27917,4,3578.27,1,2171.29,286.26,89.46
SO44015,2018-02-18,311,13693,10,3578.27,1,2171.29,286.26,89.46
SO44016,2018-02-18,350,11247,10,3374.99,1,1898.09,270.00,84.37
SO44017,2018-02-18,310,28078,1,3578.27,1,2171.29,286.26,89.46
SO44018,2018-02-18,350,25876,1,3374.99,1,1898.09,270.00,84.37
SO44019,2018-02-18,310,16701,9,3578.27,1,2171.29,286.26,89.46
SO44020,2018-02-18,311,16931,9,3578.27,1,2171.29,286.26,89.46
SO44021,2018-02-18,348,11032,9,3374.99,1,1898.09,270.00,84.37
SO44022,2018-02-19,313,22008,6,3578.27,1,2171.29,286.26,89.46
SO44023,2018-02-19,349,19830,6,3374.99,1,1898.09,270.00,84.37
SO44024,2018-02-19,314,16663,9,3578.27,1,2171.29,286.26,89.46
SO44025,2018-02-19,314,16708,9,3578.27,1,2171.29,286.26,89.46
SO44026,2018-02-19,310,17045,9,3578.27,1,2171.29,286.26,89.46
SO44027,2018-02-20,310,21921,6,3578.27,1,2171.29,286.26,89.46
SO44028,2018-02-20,312,17048,9,3578.27,1,2171.29,286.26,89.46
SO44029,2018-02-20,350,11050,9,3374.99,1,1898.09,270.00,84.37
SO44030,2018-02-21,311,12131,7,3578.27,1,2171.29,286.26,89.46
SO44031,2018-02-21,313,13689,10,3578.27,1,2171.29,286.26,89.46
SO44032,2018-02-21,344,11243,10,3399.99,1,1912.15,272.00,85.00
SO44033,2018-02-21,314,16693,9,3578.27,1,2171.29,286.26,89.46
SO44034,2018-02-21,313,16702,9,3578.27,1,2171.29,286.26,89.46
SO44035,2018-02-21,312,16707,9,3578.27,1,2171.29,286.26,89.46
SO44036,2018-02-21,310,17046,9,3578.27,1,2171.29,286.26,89.46
SO44037,2018-02-21,328,25272,9,699.10,1,413.15,55.93,17.48
SO44038,2018-02-21,344,25868,4,3399.99,1,1912.15,272.00,85.00
SO44039,2018-02-22,342,17971,7,699.10,1,413.15,55.93,17.48
SO44040,2018-02-22,351,11057,9,3374.99,1,1898.09,270.00,84.37
SO44041,2018-02-22,313,16742,9,3578.27,1,2171.29,286.26,89.46
SO44042,2018-02-23,313,13678,10,3578.27,1,2171.29,286.26,89.46
SO44043,2018-02-23,311,13679,10,3578.27,1,2171.29,286.26,89.46
SO44044,2018-02-23,314,13690,10,3578.27,1,2171.29,286.26,89.46
SO44045,2018-02-23,344,28394,7,3399.99,1,1912.15,272.00,85.00
SO44046,2018-02-23,313,28064,1,3578.27,1,2171.29,286.26,89.46
SO44047,2018-02-23,344,25878,4,3399.99,1,1912.15,272.00,85.00
SO44048,2018-02-23,314,16713,9,3578.27,1,2171.29,286.26,89.46
SO44049,2018-02-24,314,13538,8,3578.27,1,2171.29,286.26,89.46
SO44050,2018-02-24,310,17050,9,3578.27,1,2171.29,286.26,89.46
SO44051,2018-02-25,310,13691,10,3578.27,1,2171.29,286.26,89.46
SO44052,2018-02-25,314,16637,9,3578.27,1,2171.29,286.26,89.46
SO44053,2018-02-26,338,19329,8,699.10,1,413.15,55.93,17.48
SO44054,2018-02-26,314,13542,8,3578.27,1,2171.29,286.26,89.46
SO44055,2018-02-26,310,13543,8,3578.27,1,2171.29,286.26,89.46
SO44056,2018-02-26,314,13559,8,3578.27,1,2171.29,286.26,89.46
SO44057,2018-02-26,338,14577,1,699.10,1,413.15,55.93,17.48
SO44058,2018-02-26,350,11056,9,3374.99,1,1898.09,270.00,84.37
SO44059,2018-02-26,313,16688,9,3578.27,1,2171.29,286.26,89.46
SO44060,2018-02-26,342,25273,9,699.10,1,413.15,55.93,17.48
SO44061,2018-02-27,310,27919,1,3578.27,1,2171.29,286.26,89.46
SO44062,2018-02-27,310,28041,1,3578.27,1,2171.29,286.26,89.46
SO44063,2018-02-27,344,11240,10,3399.99,1,1912.15,272.00,85.00
SO44064,2018-02-27,310,22050,6,3578.27,1,2171.29,286.26,89.46
SO44065,2018-02-27,310,28062,4,3578.27,1,2171.29,286.26,89.46
SO44066,2018-02-27,344,25867,4,3399.99,1,1912.15,272.00,85.00
SO44067,2018-02-27,310,17049,9,3578.27,1,2171.29,286.26,89.46
SO44068,2018-02-28,313,13541,8,3578.27,1,2171.29,286.26,89.46
SO44069,2018-02-28,349,28395,7,3374.99,1,1898.09,270.00,84.37
SO44070,2018-02-28,349,19829,6,3374.99,1,1898.09,270.00,84.37
SO44071,2018-02-28,313,16691,9,3578.27,1,2171.29,286.26,89.46
SO44072,2018-02-28,311,16656,9,3578.27,1,2171.29,286.26,89.46
SO44073,2018-02-28,351,11044,9,3374.99,1,1898.09,270.00,84.37
SO44134,2018-03-01,310,13821,10,3578.27,1,2171.29,286.26,89.46
SO44135,2018-03-01,310,28156,4,3578.27,1,2171.29,286.26,89.46
SO44136,2018-03-01,311,22114,6,3578.27,1,2171.29,286.26,89.46
SO44137,2018-03-01,314,17328,9,3578.27,1,2171.29,286.26,89.46
SO44138,2018-03-02,310,13765,10,3578.27,1,2171.29,286.26,89.46
SO44139,2018-03-02,311,13792,10,3578.27,1,2171.29,286.26,89.46
SO44140,2018-03-02,311,12221,7,3578.27,1,2171.29,286.26,89.46
SO44141,2018-03-02,313,13572,8,3578.27,1,2171.29,286.26,89.46
SO44142,2018-03-02,313,22058,6,3578.27,1,2171.29,286.26,89.46
SO44143,2018-03-02,313,28145,4,3578.27,1,2171.29,286.26,89.46
SO44144,2018-03-02,312,17071,9,3578.27,1,2171.29,286.26,89.46
SO44145,2018-03-02,310,17309,9,3578.27,1,2171.29,286.26,89.46
SO44146,2018-03-02,313,17310,9,3578.27,1,2171.29,286.26,89.46
SO44147,2018-03-02,310,17320,9,3578.27,1,2171.29,286.26,89.46
SO44148,2018-03-03,310,28172,4,3578.27,1,2171.29,286.26,89.46
SO44149,2018-03-03,312,17242,9,3578.27,1,2171.29,286.26,89.46
SO44150,2018-03-03,312,17315,9,3578.27,1,2171.29,286.26,89.46
SO44151,2018-03-03,328,25558,9,699.10,1,413.15,55.93,17.48
SO44152,2018-03-04,346,11334,10,3399.99,1,1912.15,272.00,85.00
SO44153,2018-03-04,312,28168,4,3578.27,1,2171.29,286.26,89.46
SO44154,2018-03-04,311,28181,1,3578.27,1,2171.29,286.26,89.46
SO44155,2018-03-04,313,28131,4,3578.27,1,2171.29,286.26,89.46
SO44156,2018-03-04,346,25887,1,3399.99,1,1912.15,272.00,85.00
SO44157,2018-03-04,314,17055,9,3578.27,1,2171.29,286.26,89.46
SO44158,2018-03-05,311,13567,8,3578.27,1,2171.29,286.26,89.46
SO44159,2018-03-05,311,28182,4,3578.27,1,2171.29,286.26,89.46
SO44160,2018-03-05,312,28186,1,3578.27,1,2171.29,286.26,89.46
SO44161,2018-03-06,314,13772,10,3578.27,1,2171.29,286.26,89.46
SO44162,2018-03-06,311,28185,4,3578.27,1,2171.29,286.26,89.46
SO44163,2018-03-06,314,28193,4,3578.27,1,2171.29,286.26,89.46
SO44164,2018-03-06,310,28088,4,3578.27,1,2171.29,286.26,89.46
SO44165,2018-03-06,313,17065,9,3578.27,1,2171.29,286.26,89.46
SO44166,2018-03-06,338,14581,1,699.10,1,413.15,55.93,17.48
SO44167,2018-03-06,314,17308,9,3578.27,1,2171.29,286.26,89.46
SO44168,2018-03-07,313,12211,7,3578.27,1,2171.29,286.26,89.46
SO44169,2018-03-07,311,28179,1,3578.27,1,2171.29,286.26,89.46
SO44170,2018-03-07,314,28183,4,3578.27,1,2171.29,286.26,89.46
SO44171,2018-03-07,313,28112,4,3578.27,1,2171.29,286.26,89.46
SO44172,2018-03-07,338,14584,4,699.10,1,413.15,55.93,17.48
SO44173,2018-03-08,312,13784,10,3578.27,1,2171.29,286.26,89.46
SO44174,2018-03-08,311,17229,9,3578.27,1,2171.29,286.26,89.46
SO44175,2018-03-08,313,17246,9,3578.27,1,2171.29,286.26,89.46
SO44176,2018-03-09,314,12220,7,3578.27,1,2171.29,286.26,89.46
SO44177,2018-03-09,350,11337,10,3374.99,1,1898.09,270.00,84.37
SO44178,2018-03-09,312,28097,4,3578.27,1,2171.29,286.26,89.46
SO44179,2018-03-09,350,25888,1,3374.99,1,1898.09,270.00,84.37
SO44180,2018-03-09,347,11058,9,3399.99,1,1912.15,272.00,85.00
SO44181,2018-03-09,312,17294,9,3578.27,1,2171.29,286.26,89.46
SO44182,2018-03-09,310,17299,9,3578.27,1,2171.29,286.26,89.46
SO44183,2018-03-10,310,28158,4,3578.27,1,2171.29,286.26,89.46
SO44184,2018-03-10,314,17247,9,3578.27,1,2171.29,286.26,89.46
SO44185,2018-03-10,310,17280,9,3578.27,1,2171.29,286.26,89.46
SO44186,2018-03-12,347,25889,4,3399.99,1,1912.15,272.00,85.00
SO44187,2018-03-12,313,17069,9,3578.27,1,2171.29,286.26,89.46
